"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"853","732","199903","2","202902","31084","0","1","2","70","21","146000","70","6.875","3","3","1","5","6","90000","853","2","360","2","299","10",NA,"19791.5726028295"
"854","725","199903","2","202902",NA,"0","1","3","68","35","229000","68","6.875","3","3","1","10","5","32500","854","2","360","2","299","10",NA,"39969.3523087331"
"855","756","199903","2","202902","15940","0","1","2","75","29","71000","75","7","3","2","1","37","6","44600","855","2","360","2","299","10",NA,"10696.9164565602"
"856","730","199903","3","202902","37964","0","1","2","80","11","166000","80","6.125","3","2","1","40","6","19000","856","3","360","2","299","10",NA,"18963.779227952"
"857","756","199903","3","202902","15764","0","1","2","80","22","140000","80","6.75","3","2","1","21","6","1800","857","3","360","2","299","10",NA,"17558.0266642043"
"858","770","199903","2","202902",NA,"0","1","2","46","30","40000","46","6.75","4","2","1","15","6","83600","858","1","360","2","299","10",NA,"2624.24637629709"
"859","648","199903","2","202902","12580","0","1","2","74","14","143000","74","6.75","4","2","1","22","6","21000","859","2","360","2","299","10",NA,"22566.9920826306"
"860","722","199903","3","202902","38060","0","1","2","73","16","52000","73","6.75","3","2","1","4","5","85000","860","3","360","2","299","10",NA,"10493.8284977251"
"861","770","199903","2","202902","23844","0","1","2","38","10","71000","38","6.75","4","2","1","17","6","46300","861","2","360","2","299","10",NA,"10338.6936336422"
"862","753","199903","2","202902","47644","0","1","2","62","26","100000","62","6.75","3","2","1","24","1","48300","862","3","360","1","299","10",NA,"3530.44352344253"
"863","713","199903","2","202902","29404","0","1","2","75","24","206000","75","6.75","4","2","1","16","6","60000","863","1","360","2","299","10",NA,"27783.103211546"
"864","773","199903","2","202902","46140","0","1","2","62","12","80000","62","6.5","4","2","1","38","6","74000","864","2","360","2","299","10",NA,"11882.597270867"
"865","728","199903","2","202902",NA,"0","1","2","25","26","54000","25","6.625","4","2","1","27","6","38600","865","1","360","1","299","10",NA,"12557.3686622275"
